Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Darlinghurst,Darlinghurst Chemist,213-219 Darlinghurst Road,2010,(02) 9357 6950,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
DeNoneiquin,Soul Pattinson Chemist DeNoneiquin,293-295 Cressy Street,2710,(03) 5881 2233,Edward River Council,"Urinary tract infection, Oral contraceptive pill"
DeNoneiquin,Infinity Pharmacy DeNoneiquin,14 - 18 Napier Street,2710,(03) 5881 2081,Edward River Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,Lawler's Wholelife Pharmacy And Healthfoods,"Shop 9B, 27-33 Oaks Ave",2099,(02) 9982 3955,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,Priceline Pharmacy Dee Why,"Shop 5&6, 834 Pittwater Road",2099,(02) 9981 3555,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,Dee Why Health Care Pharmacy,852A Pittwater Road,2099,(02) 9971 5353,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,Chemist Warehouse Dee Why,Shop 20 21/22 Dee Why Parade,2099,(02) 9971 2811,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,Dee Why Pharmacy,4/729-731 Pittwater Road,2099,(02) 9982 6383,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,TerryWhite Chemmart Dee Why,1A/1-5 Dee Why Parade,2099,(02) 9122 0853,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
Dee Why,Dee Why Grand Pharmacy,Level 3 834 Pittwater Road,2099,(02) 9982 2060,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Denham Court,TerryWhite Chemmart Willowdale Compounding,"Shop 8, 5 Willowdale Drive",2565,(02) 9606 7555,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Denistone,Midway Family Pharmacy,"Shop G5, 117 North Road",2119,(02) 9878 3550,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Denman,Denman Pharmacy,32 Ogilvie Street,2328,(02) 6547 1105,Muswellbrook Shire Council,"Urinary tract infection, Oral contraceptive pill"
Doonside,MediAdvice Pharmacy Doonside,Shop 2A/52 Rosenthal Street,2767,(02) 9831 8933,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Doonside,MediAdvice Pharmacy Donsworth,7 Hill End Road,2767,(02) 9622 4411,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Dora Creek,Dora Creek Pharmacy,2/8 Doree Place,2264,(02) 4973 1320,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Dorrigo,Dorrrigo Plateau Pharmacy,67 Hickory Street,2453,(02) 6657 2005,Bellingen Shire Council,"Urinary tract infection, Oral contraceptive pill"
Drummoyne,Priceline Pharmacy Birkenhead Point,"Shop 136, 19 Roseby Street",2047,(02) 9181 4090,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Drummoyne,Destro's Pharmacy,197-201 Victoria Road,2047,(02) 9181 2434,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Drummoyne,TerryWhite Chemmart Drummoyne,1/159-167 Victoria Road,2047,(02) 9181 3143,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Drummoyne,Chemist Warehouse Birkenhead Point,Shop 26 -28 19 Roseby Street,2047,(02) 9719 1989,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Blooms the Chemist Dubbo,"Shop 15/16A Dubbo Square, 177 Macquarie Street",2830,(02) 6882 4853,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Orana Mall Pharmacy,"Shop 110-111 Orana Mall, Wheelers Lane",2830,(02) 6882 7677,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Riverdale Chempro Chemist,"Shop16, 49-65 Macquarie Street",2830,(02) 6882 1833,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Tim Koerstz Pharmacy,"Shop 2, 93-95 Tamworth Street",2830,(02) 6882 3368,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Dubbo Chempro Chemist,65-67 Wingewarra Street,2830,(02) 6882 4544,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Priceline Pharmacy Dubbo,86 Macquarie Street,2830,(02) 6882 4922,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Dubbo Grove Pharmacy,59A Boundary Road,2830,(02) 6882 3723,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dubbo,Chemist Warehouse Dubbo,166 Macquarie Street,2830,(02) 6882 3410,Dubbo Regional Council,"Urinary tract infection, Oral contraceptive pill"
Dulwich Hill,TerryWhite Chemmart Dulwich Hill,493 Marrickville Road,2203,(02) 9569 1215,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Dulwich Hill,Dulwich Hill Pharmacy,475-477 Marrickville Road,2203,(02) 9569 8880,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Dundeoo,Dunedoo Pharmacy,86 Bolaro Street,2844,(02) 6375 1308,Warrumbungle Shire Council,"Urinary tract infection, Oral contraceptive pill"
Dungog,Williams Valley Pharmacy,182 Dowling Street,2420,(02) 4992 3095,Dungog Shire Council,"Urinary tract infection, Oral contraceptive pill"
Dural,Friendly Pharmacy Dural,12/22 Kenthurst Road,2158,(02) 9651 1156,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Earlwood,Harpers Pharmacy,"Shop 1 & 2, 6 Clarke Street",2206,(02) 9558 0668,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
East Ballina,East Ballina Amcal Pharmacy,16/44 Links Avenue,2478,(02) 6681 4446,Ballina Shire Council,Urinary tract infection
East Gosford,East Gosford Chemist Saver,75 Victoria Street,2250,(02) 4325 2947,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
East Gosford,Chemist Outlet East Gosford,52 York Street,2250,(02) 4325 2839,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
East Gosford,East Gosford Pharmacy,69 Victoria Street,2250,(02) 4325 2429,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
East Killara,East Killara Pharmacy,9/50 Koola Avenue,2071,(02) 9498 4808,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
East Lakes,Eastlakes Wholelife Pharmacy and Health Foods,"G07, 16D Evans Avenue",2018,(02) 9667 1197,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
East Lindfield,East Lindfield Pharmacy,5 Hughes Place,2070,(02) 9416 3432,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
East Lismore,Blooms the Chemist Lismore,"Shop 22-23, 62 Wyrallah Road",2480,(02) 6621 4000,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
East Maitland,Your Discount Chemist East Maitland,125 Lawes Street,2323,(02) 4933 7230,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
East Maitland,Blooms the Chemist Maitland,"Shop MM 105, Stockland Green Hills, 1 Molly Morgan Drive",2323,(02) 4934 7078,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
East Maitland,Blooms the Chemist Green Hills,"Stockland Green Hills Shop 1028, 1 Molly Morgan Drive",2323,(02) 4934 7078,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Eastgardens,Cincotta Discount Chemist 1F East,131A/152 Bunnerong Road,2036,(02) 9349 2165,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Eastgardens,Cincotta Discount Chemist Eastgardens 3F,"Shop 301, 152 Bunnerong Road",2036,(02) 9344 5384,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Eastgardens,Priceline Pharmacy Eastgardens,Shop 157-159,2036,(02) 9344 5559,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Eastwood,Eastwood Pharmacy,179 Rowe Street,2122,(02) 9874 1689,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Eastwood,Eastwood Healthfirst Pharmacy,9 Progress Avenue,2122,(02) 9874 1769,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Eastwood,Five Ways Pharmacy,77 Balaclava Road,2122,(02) 9874 4820,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Eastwood,Eastwood Night And Day Pharmacy,86 Rowe Street,2122,(02) 9874 5187,Council of the City of Ryde,Urinary tract infection
Eastwood,Chemist Warehouse Eastwood,157 Rowe Street,2122,(02) 9858 4858,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Eden,Eden Discount Pharmacy,"Shop 2, 136-138 Imlay Street",2551,(02) 6496 3336,Bega Valley Shire Council,"Urinary tract infection, Oral contraceptive pill"
Edensor Park,Pennas Edensor Park Pharmacy,"Shop 18, 207-215 Edensor Road",2176,(02) 9823 7156,Fairfield City Council,Urinary tract infection
Edgecliff,Blooms the Chemist Edgecliff,"Shop 10, 235 New South Head Road",2027,(02) 9328 1316,Woollahra Municipal Council,Urinary tract infection
Edgeworth,TerryWhite Chemmart Edgeworth Town Square,Shops 4-6 720 Main Road,2285,(02) 4953 0779,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Edgeworth,TerryWhite Chemmart Edgeworth Oasis,1/11 Arnott Street,2285,(02) 4958 6400,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Edmondson Park,Chemistworks Edmondson Park,"Shop AG65, 52 Soldiers Parade",2174,(02) 8417 8085,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Elanora Heights,Elanora Pharmacy,67 Kalang Road,2101,(02) 9913 8696,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Elemore Vale,Ramsay Pharmacy Elermore Vale,"Shop 9, 137 Croudace Road",2287,(02) 4951 4622,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Emerton,Emerton Amcal Pharmacy,"Shop 21 Emerton Village Shopping Centre, Bunting Street",2770,(02) 9628 6868,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Emu Plains,Amcal + Emu Plains,Shop 15 Lennox Village,2750,(02) 4735 1303,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Engadine,Cincotta Discount Chemist Engadine,1097 Old Princes Highway,2233,(02) 9520 8838,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Engadine,Engadine Central Pharmacy,1033 Old Princes Highway,2233,(02) 9520 8539,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Enmore,Cincottta Discount Chemist Enmore,134-146 Enmore Road,2042,(02) 9557 4511,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Epping,Chemist Warehouse Epping Oxford Street,1/36 Oxford Street,2121,(02) 9876 1311,"Parramatta, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Epping,TerryWhite Chemmart Epping,36 Lanston Place,2121,(02) 9876 3174,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Erina,Blooms the Chemist Erina,"Shop T74 Erina Fair, 618 Terrigal Drive",2250,(02) 4365 1155,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Erina,Chemist Outlet Erina Central,"Shop 13, 210 Central Coast Highway",2250,(02) 4365 3300,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Erina,Erina Fair Pharmacy,344-345/620-658 Terrigal Drive,2250,(02) 4365 6677,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Ermington,TerryWhite Chemmart Ermington,Shop 4 Betty Cuthbert Avenue,2115,(02) 9638 2202,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Erskine Park,TerryWhite Chemmart Erskine Park,"Shop 13, Corner Swallow and Peppertree Drive",2759,(02) 9834 4151,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Evans Head,Evans Head Chempro,11 Oak Street,2473,(02) 6682 4205,Richmond Valley Council,"Urinary tract infection, Oral contraceptive pill"
Fairfield,Chemist Warehouse Fairfield,8 Kenyon Street,2165,(02) 9724 1212,Fairfield City Council,Urinary tract infection
Fairfield,Barone Pharmacy Fairfield,2/118 Ware Street,2165,(02) 9724 2572,Fairfield City Council,Urinary tract infection
Fairfield,Fairfield Forum Pharmacy,"Shop 16-17, 8/9 Station Street",2165,(02) 9726 0046,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Fairfield,Neeta City Soul Pattinson,"Shop G18, 54 Smart Street",2165,(02) 9726 0077,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Fairfield Heights,Fairfield Heights Pharmacy,275 The Boulevarde,2165,(02) 9609 7755,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Fairfield Heights,Boulevarde Pharmacy,170/186 The Boulevarde,2165,(02) 9724 2211,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Fairlight,Fairlight Pharmacy,138 Sydney Road,2094,(02) 9949 1000,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Fairy Meadow,Pharmacy Express Fairy Meadow,43 Princes Highway,2519,(02) 4284 4558,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Fern Bay,Fern Bay Pharmacy,1117 Nelson Bay Road,2295,(02) 4067 3998,Port Stephens Council,Oral contraceptive pill
Figtree,Figtree Plaza Chemist,5 Bellevue Road,2525,(02) 4228 5641,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Figtree,Blooms the Chemist Figtree,"Shop 12-15 Figtree Grove, 19 Princes Highway",2525,(02) 4229 5847,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Finley,Finley Pharmacy,122-124 Murray Street,2713,(03) 5883 1144,Berrigan Shire Council,"Urinary tract infection, Oral contraceptive pill"
Five Dock,Pharmacy 4 Less Parramatta Road Five Dock,Shop 3B 213-235 Parramatta Road,2046,(02) 9745 6375,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Five Dock,Pharmacy 4 Less Five Dock,1A/125 Great North Road,2046,(02) 97134729,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Five Dock,Chemist Warehouse Five Dock,89 to 91 Great North Road,2046,(02) 9713 8929,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Fletcher,Your Chemist Shop Fletcher,11/221 Minmi Road,2287,(02) 4951 2022,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Flinders,Flinders Save And Deliver Pharmacy,1/7 Munmorah Circuit,2529,(02) 4296 5548,City of Shellharbour,"Urinary tract infection, Oral contraceptive pill"
Forbes,Life Pharmacy Forbes,"Shop 3, 159-173 Lachlan Street",2871,(02) 6852 2001,Forbes Shire Council,"Urinary tract infection, Oral contraceptive pill"
Forbes,Flannerys Pharmacy Forbes,99-101 Rankin Street,2871,(02) 6852 1111,Forbes Shire Council,"Urinary tract infection, Oral contraceptive pill"
Forest Hill,Forest Hill Pharmacy,"Shop 6, 34 Allonby Avenue",2651,(02) 6922 8882,Wagga Wagga City Council,"Urinary tract infection, Oral contraceptive pill"
Forestville,Forestville Pharmacy,25 The Centre,2087,(02) 9451 3411,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Forestville,Blooms the Chemist Forestville,"2 Starkey Street, Shop 1",2087,(02) 9451 5051,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Forresters Beach,Forresters Beach Pharmacy,23 Forresters Beach Road,2260,(02) 4385 1585,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Forster,Priceline Pharmacy Forster,"Shop B1, Breese Parade",2428,(02) 6555 5589,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Forster,Watson's Friendly Pharmacy,"Shop 4, 21 Boundary Street",2428,(02) 6555 4645,Municipality of Woollahra,"Urinary tract infection, Oral contraceptive pill"
Frenchs Forest,Skyline Pharmacy,16 Frenchs Forest Road,2086,(02) 9451 4169,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Galston,Galston Village Pharmacy,Shop 2A/346 Galston Road,2159,(02) 9653 1146,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Gerringong,Gerringong Pharmacy,113 Fern Street,2534,(02) 4234 1333,"Kiama, The Council of the Municipality of","Urinary tract infection, Oral contraceptive pill"
Gilgandra,Gilgandra Pharmacy,49 Miller Street,2827,(02) 6847 2108,Gilgandra Shire Council,"Urinary tract infection, Oral contraceptive pill"
Gillieston Heights,Gillieston Heights Discount Pharmacy,"Building 2, 3 Redwood Drive",2321,(02) 4033 0499,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Gladesville,Blooms the Chemist Gladesville,Shop 6/7 Flagstaff Street,2111,(02) 9817 3180,The Council of the Municipality of Hunters Hill,"Urinary tract infection, Oral contraceptive pill"
Glebe,Cat & Claudia's Community Pharmacy,"M102 Broadway Sydney, 1 Bay Street",2007,(02) 9281 6816,City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Glebe,Fuzes Pharmacy Outlet,"Ground Floor, 179 Glebe Point Road",2037,(02) 9660 1721,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Gledswood Hills,Cincotta Gregory Hills,Suite 1 Unit/15A/1 Gregory Hills Drive,2557,(02) 4647 3077,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Glen Innes,Timbs Pharmacy,240-242 Grey Street,2370,(02) 6732 3016,Glen Innes Severn Council,Oral contraceptive pill
Glenbrook,Glenbrook Village Pharmacy,33A Park Street,2773,(02) 4739 1345,Blue Mountains City Council,"Urinary tract infection, Oral contraceptive pill"
Glendale,Chemistworks Glendale,"Shop 22, 387 Lake Road",2285,(02) 4956 5644,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Glendenning,Medicines R Us Chemist Richmond Road,Shop 2/670 Richmond Road,2761,(02) 9626 1111,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Glenhaven,Glenhaven Pharmacy,4/78 Glenhaven Road,2156,(02) 9899 8822,The Hills Shire Council,Urinary tract infection
Glenmore Park,MediAdvice Pharmacy Glenmore Park,"Shop T11 Homeco, 1 Town Terrace",2745,(02) 4733 3033,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Gloucester,Gloucester Family Pharmacy,77/81 Denison Street,2422,(02) 6558 9274,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Gloucester,Gloucester Max Value Pharmacy,43 Church Street,2422,(02) 6558 1043,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Googong,Googong Pharmacy,Shopa2 189 Gorman Drive,2620,(02) 5104 4588,Queanbeyan-Palerang Regional Council,"Urinary tract infection, Oral contraceptive pill"
Goonellabah,Chemist Warehouse Lismore,Shop 1/799 Ballina Road,2480,(02) 6624 1429,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
Gordon,Blooms The Chemist Gordon,765 Pacific Highway,2072,(02) 9498 2587,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Gordon,Priceline Pharmacy Gordon,"Shop 1, 802 - 808 Pacific Highway",2072,(02) 9498 6465,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Gorokan,Gorokan Guardian Pharmacy,70 Wallarah Road,2263,(02) 4392 2131,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Gosford,Priceline Pharmacy Gosford,"Shops 224-228, 171 Mann Street",2250,(02) 4324 2258,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Goulburn,Priceline Pharmacy Goulburn,Shop 18 Auburn Street,2580,(02) 4821 7001,Goulburn Mulwaree Council,"Urinary tract infection, Oral contraceptive pill"
Goulburn,Blooms the Chemist Goulburn Marketplace,"Shop 15, The Marketplace, 12 Verner Street",2580,(02) 4821 2260,Goulburn Mulwaree Council,"Urinary tract infection, Oral contraceptive pill"
Goulburn,Blooms the Chemist Goulburn,220 Auburn Street,2580,(02 4821 2260,Goulburn Mulwaree Council,"Urinary tract infection, Oral contraceptive pill"
Goulburn,Blooms Goulburn Northside,304-308 Auburn Street,2580,(02) 4821 1980,Goulburn Mulwaree Council,"Urinary tract infection, Oral contraceptive pill"
Grafton,Chemist Warehouse Grafton,43 Prince Street,2460,(02) 6642 2038,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Grafton,The Grafton Friendlies Discount Pharmacy,18 Prince Street,2460,(02) 6604 1787,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Grafton,Blooms the Chemist Grafton,"Shop 24 Shoppingworld, 54-74 Fitzroy Street",2460,(02) 6643 1241,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Grafton,Ramsay Pharmacy Grafton,"Shop 2, King Street",2460,(02) 6642 2548,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Grafton,Grafton Superclinic Pharmacy,4 Clarence Street,2460,(02) 6643 4333,Clarence Valley Council,Urinary tract infection
Grafton,Good Price Pharmacy Warehouse Grafton,63 Prince Street,2460,(02) 6642 1167,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Granville,Priceless Compounding Chemist,"Shop 5, 35 East Street",2142,(02) 7229 5880,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Granville,Family Pharmacy Granville,Unit 1/60 South Street,2142,(02) 9637 5765,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Granville,Chemist Warehouse Granville,58 South Street,2142,(02) 9637 1431,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Green Valley,Priceline Pharmacy Green Valley,"Shop 2, 189 Wilson Road",2168,(02) 9825 0600,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Green Valley,Pennas Pharmacy Green Valley,174 Green Valley Road,2168,(02) 9607 7920,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Greenacre,Barone Pharmacy Chullora,Shop 29/355-357 Waterloo Road,2190,(02) 9758 8549,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Greenfield Park,Greenfield Park Pharmacy,"Shop 7, 3-5 Greenfield Road",2176,(02) 9610 1114,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Greenwich,Greenwich Pharmacy,95 Greenwich Road,2065,(02) 9436 1675,Lane Cove Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Gregory Hills,Medicines R Us Gregory Hills,Shop 200 /33 Village Circuit,2557,(02) 9136 4300,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Grenfell,Grenfell Pharmacy,105 Main Street,2810,(02) 6343 1056,Weddin Shire Council,"Urinary tract infection, Oral contraceptive pill"
Greta,Greta Pharmacy,104 High Street,2334,(02) 4938 7030,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Greystanes,Discount Drug Stores Greystanes,20A/665-669 Merrylands Road,2145,(02) 9631 4832,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,Priceline Pharmacy Griffith,292 Banna Avenue,2680,(02) 6962 1331,Griffith City Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,John Dodd Pharmacy,258 Banna Avenue,2680,(02) 6962 3010,Griffith City Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,Pat Zirilli Amcal Chemist,398-400 Banna Avenue,2680,(02) 6962 3596,Griffith City Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,Blooms the Chemist Griffith,222 Banna Avenue,2680,(02) 6962 2527,Griffith City Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,Chemist Warehouse Griffith,"T 16-18, 10-12 Yambil Street",2680,(02) 6962 3033,Griffith City Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,Drive Thru Pharmacy,18A Bonegilla Road,2680,(02) 6964 5570,Griffith City Council,"Urinary tract infection, Oral contraceptive pill"
Griffith,East Griffith Pharmacy,16 Probert Avenue,2680,(02) 6962 1876,Griffith City Council,Urinary tract infection
Guildford,Guildford Road Pharmacy,"Shop A, 268 Guildford Road",2161,(02) 9632 6571,Cumberland Council,Urinary tract infection
Gulgong,Gulgong Dispensary,119 Mayne Street,2852,(02) 6374 1107,Mid-Western Regional Council,"Urinary tract infection, Oral contraceptive pill"
Gundagai,TerryWhite Chemmart Gundagai,170 Sheridan Street,2722,(02) 6944 1148,Cootamundra-Gundagai Regional Council,"Urinary tract infection, Oral contraceptive pill"
Gungahlin​,Chemist Warehouse Gungahlin,​Shop 6 & 6A Marketplace Gungahlin 30 & 33 Hibberson Street,2912,(02) 6147 5102,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Gunnedah,Gunnedah Discount Drug Store,204 Conadilly Street,2380,(02) 6742 0018,Gunnedah Shire Council,"Urinary tract infection, Oral contraceptive pill"
Gunnedah,Carters Pharmacy Gunnedah,270-274 Conadilly Street,2380,(02) 6742 0024,Gunnedah Shire Council,"Urinary tract infection, Oral contraceptive pill"
Guyra,Guyra Pharmacy,102 Bradley Street,2365,(02) 6779 1192,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Gymea,Gymea Pharmacy,90 Gymea Bay Road,2227,(02) 9524 9595,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Gymea,Rodneys TerryWhite Chemmart,Shop 1-3/58 North West Arm Road,2227,(02) 9542 1122,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Gymea,Cincotta Discount Chemist Gymea,75 Gymea Bay Road,2227,(02) 9524 6027,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Gymea,Priceline Pharmacy Gymea,95 Gymea Bay Road,2227,(02) 9540 2866,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Haberfield,Your Choice Compounding Pharmacy,125 Ramsay Street,2045,(02) 9797 7445,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Haberfield,Your Choice Pharmacy Haberfield,"Shop 1, 191 Ramsay Street",2045,(02) 9798 8499,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Hallidays Point,3 Beaches Chemist,2/85 High Street,2430,(02) 6559 3593,Mid-Coast Council,Urinary tract infection
Hamilton,TerryWhite Chemmart Hamilton,119-125 Beaumont Street,2303,(02) 4961 1269,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Hamilton,Hamilton Pharmacy,83 Beaumont Street,2303,(02) 4961 3179,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Hamilton,Chemist Warehouse Hamilton,Shop 1/60 Beaumont Street,2303,(02) 4961 5987,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Hamilton,Priceline Pharmacy Hamilton,88 Beaumont Street,2303,(02) 4965 3508,Newastle City Council,"Urinary tract infection, Oral contraceptive pill"
Hammondville,Hammondville Discount Pharmacy,44 Walder Road,2170,(02) 9825 3638,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Harden,TerryWhite Chemmart Harden,66 Neill Street,2587,(02) 6386 2643,Hilltops Council,"Urinary tract infection, Oral contraceptive pill"
Harrington,Harrington Waters Village Pharmacy,"Shop 1-2, 1-7 Caledonia Street",2427,(02) 6556 1500,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Harrington Beach,Harrington Beach Pharmacy,1/11 Beach Street,2427,(02) 6556 1533,Mid-Coast Council,Urinary tract infection
Harrington Park,Harrington Park Pharmacy,23 Fairwater Drive,2567,(02) 4648 1686,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Hassall Grove,Medicines R Us Chemist Hassall Grove,"Shop 11-12, 211 Buckwell Drive",2761,(02) 9628 3620,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Hawks Nest,Myall Pharmacy Hawks Nest,47 Yamba Street,2324,(02) 4997 0267,Mid-Coast Council,Urinary tract infection
